,review,voted_up
0,"Về nhà và chơi mẹ mày đi, đồ trứng ngu.",False
1,Game nhu cai mau lon ay dit me may ram 4g con deo choi noi vai ca lon,False
2,chơi khá tệ,False
3,"modders and hackers everywhere i see them everyday, every seassion i joined",False
4,"game load lâu vl
game nhiều hacker toxic
50% vô kiểu j cũng gặp hack",False
5,"Nếu bạn mua game vì chế độ multi thì không nên, đừng lãng phí thời gian của bạn.",False
6,"Lỗi càng ngày càng nhiều, hack cũng tràn lan, làm một cái quest nhỏ được cả mấy trăm triệu.
",False
7,"No, you remove the mod in multiplayer? Suk it!",False
8,Game phần biệt đất nước chủng tộc đáng lên áng dislike,False
9,"lỗi tùm lum ko à...
ko thể skip tutorial giữa chừng đc
vào tiệm sửa xe ko thoát đc
chạy lòng vỏng cả buổi mà chả có nhiệm vụ, chả thằng mặt lồn nào gọi đi cướp phá, vào sever khác thì bắt phải làm xong tutorial trong khi đéo có cái nhiệm vụ nào cả?",False
10,không hay lắm,False
11,Chán.Thà xách xe ra ngoài dạo phố còn hơn tự kỷ ở nhà dạo phố,False
12,"???
",False
13,tại s tôi lại k vào đc signin rockstar,False
14,Autko robi brum brum przechodnie nie robia nic,False
15,Game như cặc,False
16,"Well. 

Im gonna keep this very short. Speaking of GTA Online. 
First of all. After what, 8 years since release. Its still ALWAYS 1-10 people that obviously cheat and hack per server. 
Rockstar is TOTALLY UNCOMMITED to fixing this. Totally. They don't even seem to have ONE employee monitoring tickets, nor servers or players. Since I can't even recall when playing on a server without cheaters online unless im alone at server, im figuring its all free to cheat. Since nobody get banned. If people actually got banned we would probably see less to none cheaters since people in general don't rebuy the game 10 times to be able to cheat. 

Other than that it's also supergrindy and most things you ""invest"" in, probably take about a few hundreds of active gamehours to make up for the value invested. So all in all, its supergrindy, and you cant even do online missions because unless you get fuc*ed over by people that comes in tanks or fighterjets and what not, you will definietely get killed during your missions from someone that cheats and can like insta-kill you with bombs from wherever on the map. 

Its ridiculus that GTA dont have lower rating, i presume most players only play online when they have finished single player? I dont see that from the rating though. I cant understand that people spend money in Online since its unplayable and totally free to cheat/hack. Obviously Rockstar dont care at all, as long as they make money. 

On a last note, instead of adding weird stuff to buy and imbalance pay to win kind of vehicles/weapons, maybe focus on opening up more buildings, adding more activities or developing the game in general. Or just I dont know, keep on moneygrabbing but at least make a better GTA 6.

Its sad, feels like they really dont give a shit, really frustrating putting money into a game to get ravaged EVERY time you login by hackers. Wow! 

My two cents.",False
17,"damn game, I spent $500,000 to buy a super car, put it in the house and then entered the game it disappeared, fuck you game",False
18,I regret playing online mode,False
19,có ai biêt cách sửa lỗi gta v crashing on loading screen không chỉ minh với mình làm rất nhiêu theo YT rồi mà vẫn ko được ấy,False
20,"Rockstar launcher goblok kentot bajingan asu memek anjing jancok, tai lah",False
21,a,False
22,"Everything great, until the fucking shit ROCKSTAR LAUNCHER is problem. It broke everything before and make a bad experience.",False
23,"không đổi được nick rocstar qua nick khác 
",False
24,F,False
25,...,False
26,"I can't enter the game because every time I enter the game, it's dead",False
27,"qua nhieu hack
",False
28,game cua mày rác vãi lồn đỉ mẹ xóa con mẹ nó game ra khỏi Steam đi game rác vãi lồn đm game lồn zo thì không được đã vậy còn lag đụ mẹ mày,False
29,"Server chán, load rất lâu.
Hacker vs Moder Trung Quốc ở khắp mọi nơi. Game này nên dẹp luôn cho rổi. Chơi gì nổi !!",False
30,"ok con dê


",False
31,game như ccon kặc,False
32,Game max xàm l`. Mua chơi cùng bạn bè thì ổn.,False
33,cant jon online,False
34,Good games :3,False
35,"nhu lon
",False
36,bug and hack too much,False
37,"Bỏ game lâu không vào tự nhiên mất nhân vật ingame luôn, đăng nhập vào game bắt nhập key, nhập vào ingame cũ thì báo key đã sử dụng. Lên rockstar club xem thông tin thì thấy mất luôn thông tin nhân vật (tài khoản vẫn còn) chả hiểu bị gì luôn",False
38,Hack bug nhiều quá,False
39,Sau khi mua không thể vào game chơi được vậy ?,False
40,game gì mỗi lần vào mất hết nửa tiếng đồng hồ,False
41,game hack nhieu qua,False
42,"Game như con kẹc ,trả lại 500 giờ cho tao",False
43,game chơi dễ gây quạu,False
44,"I can't get into the game, please help me",False
45,gaame is so shit alway error this sever fuk this game,False
46,game rất tệ . đang làm nhiệm vụ giao hàng 9/10 thì bị out ra . vô lại thì không nhận được tiền bồi thường . giao hàng bằng máy bay thì 9/10 thì cũng bị lag mất cả tiền lẫn time vào game rồi  không nhận được gì .,False
47,very very bad,False
48,"this game suck
",False
49,Deadgame ở chế độ online. matchmaking chả có ma nào.,False
50,"Mua Grand Theft Auto V: Premium Online Edition & Whale Shark Card Bundle
Whale Shark Card Bundle khong duoc kich hoat
",False
51,ROCKSTAR IS FUCKING LAG,False
52,lag bug game,False
53,i bought gta 5 game on steam but when it came to playing it said an error i need explain properly i have not been able to phay game since I bught it,False
54,Grand Theft Auto V own the worst physic for gaming all times,False
55,lỗi không vào đc rockstar,False
56,at this point all i do here i commit mass murderings,False
57,"BEST GAME EVER, NOW WHERES MY GTA VI?",False
58,"game gì mà gõ gmail sơ ý gmail đó không tồn tại vẫn cho đăng kí 
rồi quên mật khẩu đéo có gmail để lấy lại acc :((
Đáng dislike",False
59,"tôi bị khóa tài khoản khi tôi chỉ mod đồ họa giúp trò chơi đẹp hơn , nó không hề làm mất cân bằng của trò chơi
sau ngày 21 tháng 10 , tất cả nhân vật của tôi bị xóa nên chắc tôi cũng không còn lý do gì để chơi GTA 
mong các bạn kiểm duyệt lại giúp tôi",False
60,Why do I buy games without playing casino games?,False
61,không vui lắm,False
62,online shit with hacker,False
63,"nice game but not good
story 6/10
online 3/10
sever online 1/10",False
64,good game,False
65,Why do I have to verify my rockstar game account whiles I am entering the game whiles I can't remember my account PlayStation 4,False
66,dead game 2020 :)),False
